,time,open,high,low,close
0,2022-03-22 15:54:00,25.05,25.06,25.05,25.06
1,2022-03-22 15:47:00,25.145,25.145,25.145,25.145
2,2022-03-22 13:39:00,25.05,25.05,25.05,25.05
3,2022-03-22 11:49:00,25.04,25.04,25.04,25.04
4,2022-03-22 10:54:00,25.1072,25.1072,25.1072,25.1072
5,2022-03-22 10:21:00,25.04,25.04,25.04,25.04
6,2022-03-21 15:16:00,25.05,25.05,25.01,25.03
7,2022-03-21 14:43:00,25.0301,25.0301,25.0301,25.0301
8,2022-03-21 11:08:00,25.0201,25.0201,25.0201,25.0201
9,2022-03-18 15:59:00,25.06,25.0601,25.06,25.0601
10,2022-03-18 14:07:00,25.0521,25.0521,25.0521,25.0521
11,2022-03-18 13:32:00,25.181,25.181,25.181,25.181
12,2022-03-18 13:22:00,25.0999,25.0999,25.0999,25.0999
13,2022-03-18 13:15:00,25.0999,25.0999,25.0999,25.0999
14,2022-03-18 10:32:00,25.03,25.03,25.03,25.03
15,2022-03-18 09:31:00,25.01,25.01,25.01,25.01
16,2022-03-17 09:42:00,25.1,25.1,25.1,25.1
17,2022-03-17 09:31:00,25.01,25.01,25.01,25.01
18,2022-03-16 14:43:00,25.05,25.05,25.05,25.05
19,2022-03-16 14:42:00,25.05,25.05,25.05,25.05
20,2022-03-16 14:40:00,25.05,25.05,25.05,25.05
21,2022-03-16 13:44:00,25.05,25.05,25.05,25.05
22,2022-03-16 13:36:00,25.02,25.02,25.0019,25.0019
23,2022-03-16 12:52:00,25.1,25.1,25.1,25.1
24,2022-03-16 12:05:00,25.1,25.1,25.1,25.1
25,2022-03-15 16:00:00,25.07,25.07,25.07,25.07
26,2022-03-15 11:14:00,24.9675,24.9675,24.9675,24.9675
27,2022-03-14 15:58:00,24.96,24.96,24.96,24.96
28,2022-03-14 15:51:00,24.96,24.96,24.96,24.96
29,2022-03-14 15:48:00,24.99,24.99,24.99,24.99
30,2022-03-14 15:36:00,24.98,24.99,24.97,24.99
31,2022-03-14 14:51:00,25.0098,25.0098,24.99,24.99
32,2022-03-14 14:46:00,25.0199,25.0199,25.0199,25.0199
