headline,date,doc_type,material_type,snippet,keywords
Nationals Player Tests Positive for Virus Before Opening Day,2021-04-01,article,https://www.nytimes.com/2021/03/31/sports/baseball/nationals-positive-test-coronavirus.html,"Because of contract-tracing rules, four other players and a staff member will be held out of Washington’s season opener against the Mets on Thursday.","['Baseball', 'Coronavirus Reopenings']"
Investment Firm’s Collapse Put Unseen Risks on Full Display,2021-04-01,article,https://www.nytimes.com/2021/03/31/business/archegos-stock-market-swaps.html,Archegos Capital Management’s use of swaps helped conceal its exposure to huge blocks of shares but showed once again how lightly regulated derivatives can shake the financial system.,"['Derivatives (Financial Instruments)', 'Regulation and Deregulation of Industry', 'Banking and Financial Institutions', 'Stocks and Bonds', 'Hedge Funds']"
Clerk Who Questioned $20 Bill Watched Floyd Arrest With ‘Disbelief and Guilt’,2021-04-01,article,https://www.nytimes.com/2021/03/31/us/chauvin-trial-floyd.html,"During the third day of Derek Chauvin’s trial, witness after witness agonized over whether they could have done anything to stop what would eventually happen to George Floyd.","['Murders, Attempted Murders and Homicides', 'Police Brutality, Misconduct and Shootings', 'Black People', 'Blacks']"
"40 Years After Reagan, a Bet Big Government Can Get Something Done",2021-04-01,article,https://www.nytimes.com/2021/03/31/us/politics/biden-infrastructure.html,"President Biden feels a burning sense of competition, his aides say, to prove that democratic capitalism can work.","['Infrastructure (Public Works)', 'Presidents and Presidency (US)', 'United States Economy', 'United States Politics and Government', 'American Jobs Plan (2021)']"
Investigators say a Trump aide took it upon himself to award hefty pandemic contracts.,2021-04-01,article,https://www.nytimes.com/2021/03/31/world/trump-peter-navarro-pandemic.html,"Peter Navarro, frustrated by the snail’s pace response to Covid-19, gave contracts worth hundreds of millions of dollars to politically connected or novice companies, according to a House inquiry.","['internal-essential', 'Coronavirus (2019-nCoV)', 'Government Contracts and Procurement']"
"Jill Biden, in California, Lends Support to Farmworkers Seeking Vaccinations",2021-04-01,article,https://www.nytimes.com/2021/03/31/us/politics/jill-biden-california.html,"The first lady was in Delano, Calif., to mark the birthday of César Chávez, the labor organizer who formed the country’s first successful farmworkers’ union.","['Agriculture and Farming', 'Workplace Hazards and Violations', 'Coronavirus (2019-nCoV)', 'Vaccination and Immunization', 'Organized Labor', 'Citizenship and Naturalization', 'American Rescue Plan (2021)', 'United States Economy', 'United States Politics and Government']"
Man Is Charged With Smuggling in Crash That Killed 13 Migrants in California,2021-04-01,article,https://www.nytimes.com/2021/03/31/us/california-mexico-border-crash-jose-cruz-noguez.html,More than two dozen people were crowded into an S.U.V. that collided with a tractor-trailer near the border. Jose Cruz Noguez was accused of coordinating the smuggling attempt.,"['Traffic Accidents and Safety', 'Illegal Immigration', 'Smuggling']"
"For many college students, pandemic life is disappointing. For others, it is a financial crisis.",2021-04-01,article,https://www.nytimes.com/2021/03/30/world/college-students-economic-struggle.html,"As campuses struggle under the shadow of the pandemic, many students report having trouble paying for food, housing and other basic needs.","['internal-essential', 'Coronavirus (2019-nCoV)', 'Colleges and Universities', 'Poverty']"
Child Care in Crisis: Can Biden’s Plan Save It?,2021-04-01,article,https://www.nytimes.com/2021/03/31/us/child-care-centers-crisis.html,"Child-care centers improvised during the pandemic, scrambling to stay open with razor-thin budgets and little government guidance. How long will the short-term solutions last?","['Child Care', 'Labor and Jobs', 'Women and Girls', 'Coronavirus (2019-nCoV)', 'Small Business']"
"Quite a Job, You Have to Admit",2021-04-01,article,https://www.nytimes.com/2021/03/31/crosswords/daily-puzzle-2021-04-01.html,Sam Ezersky wishes us all a happy April Fools’ Day.,['Crossword Puzzles']
"Corrections: April 1, 2021",2021-04-01,article,https://www.nytimes.com/2021/03/31/corrections/corrections-april-1-2021.html,"Corrections that appeared in print on Thursday, April 1, 2021.",[]
