headline,date,doc_type,material_type,snippet,keywords
Three Colorado Officers Resign After Arrest of Woman With Dementia,2021-05-01,article,https://www.nytimes.com/2021/04/30/us/colorado-police-dementia.html,"Body-camera footage of the arrest of Karen Garner has drawn widespread outrage, as has another video that showed officers laughing at the footage.","['Police Brutality, Misconduct and Shootings', 'Suits and Litigation (Civil)', 'Dementia']"
Manchin says he won’t support a D.C. statehood bill.,2021-05-01,article,https://www.nytimes.com/2021/04/30/us/politics/joe-manchin-washington-dc-statehood.html,"Senator Joe Manchin III, Democrat of West Virginia, told local news reporters that he believed making Washington, D.C., a state would require a constitutional amendment.","['Statehood Movement for Washington, DC', 'United States Politics and Government']"
MoMA Blocks Protesters Who Planned to Demonstrate Inside,2021-05-01,article,https://www.nytimes.com/2021/04/30/arts/moma-blocks-protesters-who-planned-to-demonstrate-inside.html,"The museum, citing safety concerns, closed its doors to the protesters who say MoMA caters too much to the interests of its wealthy donors.","['Museums', 'Demonstrations, Protests and Riots', 'Art']"
"Eli Broad, Who Helped Reshape Los Angeles, Dies at 87",2021-05-01,article,https://www.nytimes.com/2021/04/30/us/eli-broad-dead.html,"The businessman, who made a fortune in home-building and insurance, spent lavishly to try to make the city a cultural capital.","['Museums', 'Art', 'Deaths (Obituaries)', 'Philanthropy', 'Education (K-12)']"
"Corrections: May 1, 2021",2021-05-01,article,https://www.nytimes.com/2021/04/30/pageoneplus/corrections-may-1-2021.html,"Corrections that appeared in print on Saturday, May 1, 2021.",[]
Quotation of the Day: Soul-Searching in Israel After Deadly Stampede at Religious Site,2021-05-01,article,https://www.nytimes.com/2021/04/30/todayspaper/quotation-of-the-day-soul-searching-in-israel-after-deadly-stampede-at-religious-site.html,"Quotation of the Day for Saturday, May 1, 2021.",[]
Screwballs,2021-05-01,article,https://www.nytimes.com/2021/04/30/crosswords/daily-puzzle-2021-05-01.html,"All’s fair in love, war and Ryan McCarty’s Saturday puzzle.","['Crossword Puzzles', 'Ties (Apparel)']"
Looking for a Weekend Excursion? Try Craft Shop Hopping,2021-05-01,article,https://www.nytimes.com/2021/04/30/t-magazine/craft-shops-connecticut-new-york.html,A wealth of stores and studios in Connecticut and upstate New York offer lovely handmade wares that you’ll have forever.,"['Ceramics and Pottery', 'Art', 'Quarantine (Life and Culture)', 'Handicrafts', 'Small Business', 'Content Type: Service']"
Medina Spirit Wins the 147th Kentucky Derby,2021-05-01,article,https://www.nytimes.com/2021/05/01/sports/horse-racing/medina-spirit-wins-kentucky-derby.html,"The trainer Bob Baffert collected his seventh Derby victory while the favorite, Essential Quality, faltered and finished fourth.","['Horse Racing', 'Kentucky Derby', 'Triple Crown (Horse Racing)', 'Jockeys, Drivers and Trainers', 'Doping (Sports)']"
Tom Brady Charted a New Path. Aaron Rodgers Struggles to Do the Same.,2021-05-01,article,https://www.nytimes.com/2021/05/01/sports/football/aaron-rodgers-trade-packers.html,"When Super Bowl-winning quarterbacks like Brady, Rodgers and Russell Wilson grow frustrated with their teams, the nature of N.F.L. contracts makes it hard to scramble away. Brady ultimately succeeded by running out the clock.","['Football', 'Free Agents (Sports)', 'Draft and Recruitment (Sports)']"
Pandemic Inspector General Warns of Oversight Breakdown,2021-05-01,article,https://www.nytimes.com/2021/05/01/us/politics/brian-miller-coronavirus-relief.html,An internal dispute at the Treasury Department shows the challenge of tracking trillions of dollars of economic relief money.,"['United States Politics and Government', 'Coronavirus Aid, Relief, and Economic Security Act (2020)', 'Stimulus (Economic)', 'Inspectors General']"
23 Candidates Are on Ballot for Open Texas Congressional Seat,2021-05-01,article,https://www.nytimes.com/2021/05/01/us/house-election-texas-susan-wright.html,"The front-runner in Saturday’s election is Susan Wright, who has been endorsed by Donald J. Trump and is the widow of Representative Ron Wright, who died of Covid-19 in February.","['Elections, House of Representatives', 'United States Politics and Government', 'Endorsements']"
"As New York City Reopens, Its Recovery Will Hinge on the Next Mayor",2021-05-01,article,https://www.nytimes.com/2021/05/01/nyregion/reopening-covid-nyc-mayor.html,The Democratic candidates are making radically different bets about the mood and priorities of New Yorkers as the city moves toward reopening after the pandemic.,"['Elections, Mayors', 'Primaries and Caucuses', 'Coronavirus Reopenings']"
May Vocabulary Challenge,2021-05-01,article,https://www.nytimes.com/2021/05/01/learning/may-vocabulary-challenge.html,How many of our recent Words of the Day can you use correctly in a 50-word story? Send us yours by May 17. And check out the winners of our April challenge!,[]
"Global Virus Cases Reach New Peak, Driven by India and South America",2021-05-01,multimedia,https://www.nytimes.com/interactive/2021/05/01/world/virus-cases-world-peak.html,"Led by surges in the two hotspots and Eastern Europe, the average number of new daily cases has exceeded 800,000 for more than a week.","['Coronavirus (2019-nCoV)', 'Hospitals', 'Disease Rates']"
Bill Nye Is Still Having Fun With Science,2021-05-01,article,https://www.nytimes.com/2021/05/01/style/bill-nye-bombay-sapphire-tiktok.html,The former host of “Bill Nye the Science Guy” has new fans on TikTok and a side gig as a celebrity pitchman.,"['Content Type: Service', 'Science and Technology', 'Social Media', 'Advertising and Marketing']"
Digital Horses Are the Talk of the Crypto World,2021-05-01,article,https://www.nytimes.com/2021/05/01/style/zed-run-horse-racing.html,"Horse racing meet NFT mania on Zed Run, a digital platform where some top steeds are fetching six-figure sums.","['Horse Racing', 'Nonfungible Tokens (NFTs)', 'Computers and the Internet', 'Computer and Video Games']"
From Best Friends to Platonic Spouses,2021-05-01,article,https://www.nytimes.com/2021/05/01/fashion/weddings/from-best-friends-to-platonic-spouses.html,Some people are taking their friendships to the next level by saying “I do” to marriages without sex.,"['Marriages', 'Friendship']"
"Why a $10,000 Tax Deduction Could Hold Up Trillions in Stimulus Funds",2021-05-01,article,https://www.nytimes.com/2021/05/01/business/salt-tax-cap-repeal.html,The fight over SALT is a case study in the age-old conflict between constituent politics and national policy.,"['Tax Credits, Deductions and Exemptions', 'Federal Taxes (US)', 'Property Taxes', 'Income Tax', 'United States Politics and Government', 'Tax Cuts and Jobs Act (2017)', 'High Net Worth Individuals', 'Stimulus (Economic)', 'Infrastructure (Public Works)', 'American Jobs Plan (2021)']"
Decorating Scandal Engulfs Boris Johnson and Puts Fiancée in Spotlight,2021-05-01,article,https://www.nytimes.com/2021/05/01/world/europe/boris-johnson-carrie-symonds-scandal.html,Critics see the hand of Carrie Symonds in the costly makeover of the couple’s apartment and other political dust-ups. Supporters see “outdated sexist tropes.”,"['Politics and Government', 'Interior Design and Furnishings', 'Embezzlement', 'Women and Girls', 'Discrimination', 'Content Type: Personal Profile']"
"After Years of Protests, a New Jersey County Ends Its ICE Jail Contract",2021-05-01,article,https://www.nytimes.com/2021/05/01/nyregion/essex-ice.html,"The Essex County executive said the decision to stop holding undocumented immigrants for ICE in the county jail was based on money, not politics.","['Immigration Detention', 'Illegal Immigration', 'Politics and Government', 'Demonstrations, Protests and Riots']"
Brie Larson Pivoted to Video,2021-05-01,article,https://www.nytimes.com/2021/05/01/style/brie-larson.html,The Oscar-winning actress has found therapeutic refuge on YouTube.,"['Content Type: Personal Profile', 'Quarantine (Life and Culture)', 'Video Recordings, Downloads and Streaming', 'Actors and Actresses']"
N.J. Teacher Suspended After Calling George Floyd a ‘Criminal’,2021-05-01,article,https://www.nytimes.com/2021/05/01/nyregion/zoom-teacher-racist.html,"The New Jersey high school teacher, Howard Zlotkin, has been suspended with pay after appearing to target Black students in an online class.","['Black People', 'Blacks', 'Black Lives Matter Movement', 'Education (K-12)', 'Discrimination', 'Police Brutality, Misconduct and Shootings', 'Teachers and School Employees']"
Arnold Schwarzenegger Is No Longer the Governor of California. Right?,2021-05-01,article,https://www.nytimes.com/2021/05/01/us/arnold-schwarzenegger-california.html,"Amid a pandemic and a recall, Mr. Schwarzenegger has been in demand at his Los Angeles mansion, embracing his unlikely role as California’s “elderly statesman.”","['Governors (US)', 'Politics and Government', 'Content Type: Personal Profile']"
Should You Renovate the Kitchen Before You Sell?,2021-05-01,article,https://www.nytimes.com/2021/05/01/realestate/renovations-before-a-sale.html,"One outdated room can stand out and hurt a sale. But before you do any last-minute work, set a budget and make sure you finish what you start.","['Real Estate and Housing (Residential)', 'Restoration and Renovation', 'Home Repairs and Improvements', 'Content Type: Service', 'Kitchens']"
