headline,date,doc_type,material_type,snippet,keywords
Facebook Could Block Sharing of News Stories in Australia,2020-09-01,article,https://www.nytimes.com/2020/08/31/technology/facebook-block-news-stories-australia.html,"The move, a response to pressure to pay publishers when their stories are posted on the social network, could add to internet silos springing up around the world.","['Computers and the Internet', 'News and News Media', 'Social Media', 'Regulation and Deregulation of Industry', 'Rumors and Misinformation', 'Search Engines', 'Law and Legislation']"
Unwitting Progressives for Trump,2020-09-01,article,https://www.nytimes.com/2020/08/31/opinion/trump-biden-protests.html,Does Joe Biden have the nerve to stand up to the far left?,"['George Floyd Protests (2020)', 'Demonstrations, Protests and Riots', 'Presidential Election of 2020', 'Black Lives Matter Movement', 'Looting (Crime)', 'Race and Ethnicity', 'Police Brutality, Misconduct and Shootings', 'Monuments and Memorials (Structures)']"
"‘We Germans,’ Alexander Starritt by the Author: An Excerpt",2020-09-01,article,https://www.nytimes.com/2020/08/31/books/review/we-germans-alexander-starritt-by-the-author-an-excerpt.html,"An excerpt from “We Germans,” by Alexander Starritt",[]
A Long History of Language That Incites and Demonizes,2020-09-01,article,https://www.nytimes.com/2020/08/31/us/politics/trump-police-protests.html,President Trump has employed provocative and sometimes incendiary words and images to focus attention on demonstrations and away from the human and economic costs of the pandemic.,"['George Floyd Protests (2020)', 'Demonstrations, Protests and Riots', 'Presidential Election of 2020', 'Antifa Movement (US)', 'Black Lives Matter Movement', 'Police Brutality, Misconduct and Shootings', 'United States Politics and Government', 'Black People', 'Blacks', 'Charlottesville, Va, Violence (August, 2017)', 'Republican National Convention']"
Trump Defends Kyle Rittenhouse,2020-09-01,multimedia,https://www.nytimes.com/video/us/politics/100000007317812/trump-rittenhouse-teenager-peaceful-protest.html,"President Trump said Mr. Rittenhouse, the 17-year-old who has been charged in the killings of two people in Wisconsin, was “violently attacked.”","['United States Politics and Government', 'Demonstrations, Protests and Riots', 'Murders, Attempted Murders and Homicides']"
One of the Candidates Cheers Violence. It’s Not Biden.,2020-09-01,article,https://www.nytimes.com/2020/08/31/opinion/trump-biden-violence.html,Trump has urged his fans to mayhem since his first presidential campaign.,"['Presidential Election of 2020', 'George Floyd Protests (2020)', 'United States Politics and Government', 'Polls and Public Opinion', 'Demonstrations, Protests and Riots', 'Fringe Groups and Movements', 'Whites', 'Terrorism', 'Vandalism', 'Voting and Voters', 'Black Lives Matter Movement', 'Republican National Convention']"
Unable to Decide,2020-09-01,article,https://www.nytimes.com/2020/08/31/crosswords/daily-puzzle-2020-09-01.html,David Steinberg slashes through his grid.,['Crossword Puzzles']
"Quotation of the Day: In Command: The Few, the Proud, the White",2020-09-01,article,https://www.nytimes.com/2020/08/31/todayspaper/quotation-of-the-day-in-command-the-few-the-proud-the-white.html,"Quotation of the Day for Tuesday, September 1, 2020.",[]
"Corrections: Sept. 1, 2020",2020-09-01,article,https://www.nytimes.com/2020/08/31/pageoneplus/corrections-sept-1-2020.html,"Corrections that appeared in print on Tuesday, Sept. 1, 2020.",[]
How the Fatal Shooting at a Portland Protest Unfolded,2020-09-01,article,https://www.nytimes.com/2020/08/31/video/portland-protests-shooting-investigation.html,"We followed the final moments of a man shot and killed in Portland, Ore., as supporters of President Trump clashed with those protesting police violence.","['Demonstrations, Protests and Riots', 'Murders, Attempted Murders and Homicides', 'George Floyd Protests (2020)', 'Black Lives Matter Movement', 'Video Recordings, Downloads and Streaming', 'Fringe Groups and Movements']"
