headline,date,doc_type,material_type,snippet,keywords
"Guns, Germs, Bitcoin and the Antisocial Right",2022-02-01,article,https://www.nytimes.com/2022/01/31/opinion/republican-misinformation-coronavirus.html,"The push to make Americans’ lives nasty, brutish and short.","['United States Politics and Government', 'Bitcoin (Currency)', 'Electric Light and Power', 'Gun Control', 'Coronavirus (2019-nCoV)']"
DeSantis and the Media: (Not) a Love Story,2022-02-01,article,https://www.nytimes.com/2022/01/31/us/politics/desantis-media.html,The Florida governor and the mainstream press have had a rocky relationship that he has often worked to his advantage.,"['United States Politics and Government', 'Presidential Election of 2024', 'News and News Media']"
Angry U.S.-Russia Exchange at U.N. Punctuates Deepening Ukraine Rift,2022-02-01,article,https://www.nytimes.com/2022/01/31/world/europe/ukraine-russia-united-nations.html,"With vitriolic accusations that echoed the Cold War era, the United States and Russia sparred in a bitter debate over the Ukraine crisis in a Security Council meeting watched by the world on Monday.","['United States International Relations', 'International Relations', 'Politics and Government', 'Embargoes and Sanctions', 'Defense and Military Forces']"
"U.S. and Allies Close to Reviving Nuclear Deal With Iran, Officials Say",2022-02-01,article,https://www.nytimes.com/2022/01/31/us/politics/iran-nuclear-deal-biden.html,"A return to a 2015 accord is on the table, but the next decisions are up to the new government in Tehran, the Biden administration says.","['Nuclear Weapons', 'Embargoes and Sanctions', 'United States International Relations', 'Politics and Government', 'Arms Control and Limitation and Disarmament']"
How N.Y. Democrats Came Up With Gerrymandered Districts on Their New Map,2022-02-01,article,https://www.nytimes.com/2022/01/31/nyregion/nyc-congressional-district-nadler.html,The peculiar redrawing of Representative Jerrold Nadler’s district led to the joke that it was “jerrymandered.” The reasons for the new lines were politically complicated.,"['Redistricting and Reapportionment', 'United States Politics and Government', 'Politics and Government', 'State Legislatures', 'Geography']"
Trump Entered 2022 With $122 Million in the Bank,2022-02-01,article,https://www.nytimes.com/2022/01/31/us/politics/trump-campaign-filing.html,The former president’s overall war chest was more than double the cash on hand of the Republican National Committee.,"['Campaign Finance', 'Midterm Elections (2022)']"
Former Pence Chief of Staff Has Testified to the Jan. 6 Committee,2022-02-01,article,https://www.nytimes.com/2022/01/31/us/politics/marc-short-mike-pence.html,"Marc Short, who has firsthand knowledge of former President Donald J. Trump’s pressure campaign on his vice president to throw out the election results, appeared under subpoena.","['United States Politics and Government', 'Storming of the US Capitol (Jan, 2021)', 'Presidential Election of 2020']"
Georgetown Suspends Lecturer Who Criticized Vow to Put Black Woman on Court,2022-02-01,article,https://www.nytimes.com/2022/01/31/us/ilya-shapiro-georgetown-biden-scotus.html,"Ilya Shapiro has apologized after tweeting that President Biden was poised to nominate not “the objectively best pick,” but a “lesser” Black woman to the Supreme Court.","['Colleges and Universities', 'Law Schools', 'Race and Ethnicity', 'Discrimination', 'Black People', 'Blacks', 'ACADEMIC FREEDOM', 'Freedom of Speech and Expression', 'Appointments and Executive Changes', 'Politics and Government']"
Tom Brady Says He Hasn’t Reached Retirement Decision,2022-02-01,article,https://www.nytimes.com/2022/01/31/sports/football/tom-brady-interview-retirement-decision.html,"In Brady’s first public comments since reports that he’d end his 22-season career, the only timeline he gave for making a decision was “when the time’s right.”",['Football']
Pfizer is expected to ask the F.D.A. to authorize its Covid vaccine for children under 5.,2022-02-01,article,https://www.nytimes.com/2022/01/31/science/pfizer-is-expected-to-ask-the-fda-to-authorize-its-covid-vaccine-for-children-under-5.html,"Pfizer and BioNTech in mid-December announced that two doses of the vaccine, given at a tenth of the amount of an adult dosing, did not produce a strong enough immune response in children ages 2 to 4.",[]
