headline,date,doc_type,material_type,snippet,keywords
Already Had Plenty of Trump 2020?,2020-01-02,article,https://www.nytimes.com/2020/01/01/opinion/trump-2020.html,"He’s a bad show, but it’s not low-flow.","['Presidential Election of 2020', 'United States Politics and Government']"
Why Did One-Quarter of the World’s Pigs Die in a Year?,2020-01-02,article,https://www.nytimes.com/2020/01/01/opinion/china-swine-fever.html,"Swine fever devastated China’s stock because with unsound governance, even sound regulations have perverse effects.","['Pigs', 'Agriculture and Farming', 'Pork', 'Livestock Diseases', 'Slaughterhouses', 'Politics and Government', 'AFRICAN SWINE FEVER', 'SARS (Severe Acute Respiratory Syndrome)', 'Epidemics']"
Coast Guard Suspends Search for 5 Missing After Fishing Boat Sinks Off Alaska,2020-01-02,article,https://www.nytimes.com/2020/01/01/us/scandies-rose-fishing-boat-alaska.html,"Two of seven crew members were rescued after the Scandies Rose, a 130-foot-long crab fishing vessel, sank on Tuesday night, the Coast Guard said.","['Rescues', 'Maritime Accidents and Safety', 'Fishing, Commercial']"
"N.B.A. Superstars, Growth and Lockouts: The David Stern Years",2020-01-02,article,https://www.nytimes.com/2020/01/01/sports/basketball/david-stern-commissioner-timeline.html,"The longtime commissioner received acclaim for building the league into a vital global business, but he also was at the center of contentious disputes.",['Basketball']
"In Rose Bowl Victory Over Wisconsin, Oregon Shows Rebuild Needs Work",2020-01-02,article,https://www.nytimes.com/2020/01/01/sports/ncaafootball/rose-bowl-oregon.html,The Ducks managed to win with only 204 yards in total offense — the fewest by a team in the Rose Bowl since 1979.,"['Football (College)', 'Rose Bowl (Football Game)', 'Bowl Games']"
Where Darth Vader Gets His Strength,2020-01-02,article,https://www.nytimes.com/2020/01/01/crosswords/daily-puzzle-2020-01-02.html,Ed Sessa turns the lights out on us.,['Crossword Puzzles']
"Don Larsen, Yankee Who Pitched Only Perfect Game in World Series History, Dies at 90",2020-01-02,article,https://www.nytimes.com/2020/01/01/obituaries/don-larsen-dead.html,"He retired after 14 seasons with a losing record for his career, but for one day in 1956 he was the picture of perfection.","['Deaths (Obituaries)', 'Baseball', 'World Series']"
"No Corrections: Jan. 2, 2020",2020-01-02,article,https://www.nytimes.com/2020/01/01/pageoneplus/corrections-jan-02-2020.html,"No corrections appeared in print on Thursday, Jan. 2, 2020.",[]
"India Cold Wave Breaks Records, Shuts Schools and Makes Bad Air Worse",2020-01-02,article,https://www.nytimes.com/2020/01/01/world/asia/india-cold-pollution.html,"Across the north, including New Delhi, plunging temperatures have caused a run on shelters in a region more used to extreme heat.","['Weather', 'Traffic Accidents and Safety', 'Temperature', 'Homeless Persons']"
Quotation of the Day: Pika-Who? How Canada’s Military Reacted to a Pokémon Go Invasion,2020-01-02,article,https://www.nytimes.com/2020/01/01/todayspaper/quotation-of-the-day-pika-who-how-canadas-military-reacted-to-a-pokemon-go-invasion.html,"Quotation of the Day for Thursday, January 2, 2020.",[]
Head-Scarf Ban and Carbon Taxes: Austria Gets an Unlikely Government,2020-01-02,article,https://www.nytimes.com/2020/01/02/world/europe/austria-kurz-greens-coalition-government.html,"After months of talks, Sebastian Kurz’s conservatives and progressive Greens agreed on a coalition that could be a harbinger for the rest of Europe.","['Elections', 'Legislatures and Parliaments', 'Politics and Government']"
Your Thursday Briefing,2020-01-02,article,https://www.nytimes.com/2020/01/02/briefing/austria-australia-fires-2020.html,"Austria, Australia fires, 2020: Here’s what you need to know.",[]
What’s on TV Thursday: ‘Breakthrough’ and ‘Surviving R. Kelly Part II’,2020-01-02,article,https://www.nytimes.com/2020/01/02/arts/television/whats-on-tv-thursday-surviving-r-kelly-part-ii.html,A drama based on a miraculous Missouri incident airs on HBO. And Lifetime airs a follow-up to its much-viewed R. Kelly documentary series.,"['Television', 'Movies']"
Word + Quiz: subsume,2020-01-02,article,https://www.nytimes.com/2020/01/02/learning/word-quiz-subsume.html,This word has appeared in 19 articles on NYTimes.com in the past year.,[]
Taiwan’s Top Military Official and 7 Others Die in Helicopter Crash,2020-01-02,article,https://www.nytimes.com/2020/01/02/world/asia/taiwan-military-chief-helicopter-crash.html,The helicopter was carrying military personnel to an event in northeastern Taiwan when it went down on a wooded mountainside.,"['Defense and Military Forces', 'Helicopters', 'Aviation Accidents, Safety and Disasters', 'Deaths (Fatalities)']"
"New Year, New You?",2020-01-02,article,https://www.nytimes.com/2020/01/02/learning/new-year-new-you.html,What are your resolutions for 2020?,[]
‘Surviving R. Kelly’ Night One Recap: Threats and New Abuse Details,2020-01-02,article,https://www.nytimes.com/2020/01/02/arts/television/surviving-r-kelly-2.html,"A new Lifetime series examines the criminal charges against the singer, and how accusing him changed the lives of the women who came forward.","['Television', 'Documentary Films and Programs', 'Sex Crimes', 'Child Abuse and Neglect', '#MeToo Movement', 'RHYTHM AND BLUES (MUSIC)']"
How David Stern Navigated Race in the N.B.A.,2020-01-02,article,https://www.nytimes.com/2020/01/02/sports/basketball/david-stern-nba.html,"Stern was known as a fierce negotiator who was considerate of the racial implications of overseeing a mostly black league, though he also faced criticism for some of his decisions.","['Basketball', 'Black People', 'Blacks', 'Race and Ethnicity', 'Labor and Jobs']"
Flash Floods in Indonesia Leave Hundreds of Thousands Homeless,2020-01-02,article,https://www.nytimes.com/2020/01/02/world/asia/indonesia-jakarta-rain-floods.html,"At least 43 people have been killed in the most intense rains to strike Jakarta, the country’s capital, since record keeping began.","['Floods', 'New Year', 'Rain']"
"Lesson of the Day: ‘The Machines Are Learning, and So Are the Students’",2020-01-02,article,https://www.nytimes.com/2020/01/02/learning/lesson-of-the-day-the-machines-are-learning-and-so-are-the-students.html,"In this lesson, students will learn about how A.I. is changing education and imagine how the machine learning revolution will shape the schools of the future.",[]
"For Their First New York Purchase, a Couple Cast a Wide Net. Which of These Homes Would You Choose? ",2020-01-02,multimedia,https://www.nytimes.com/interactive/2020/01/02/realestate/02hunt-ganguly.html,"Bushra and Surya Sayed-Ganguly wanted two bedrooms, two bathrooms and a reasonable commute to Midtown. Here’s where they wound up.","['Real Estate and Housing (Residential)', 'Condominiums']"
What Are Your Predictions for the New Year and the New Decade?,2020-01-02,article,https://www.nytimes.com/2020/01/02/learning/what-are-your-predictions-for-the-new-year-and-the-new-decade.html,"What do you think will change in our world in terms of culture, politics and technology in the next 10 years?",[]
Thanks for the Piece of Plastic?,2020-01-02,article,https://www.nytimes.com/2020/01/02/style/thanks-for-the-piece-of-plastic.html,"My friends gave me a gift card. When I tried to use it, the balance was zero.","['Customs, Etiquette and Manners']"
