headline,date,doc_type,material_type,snippet,keywords
Russia Is a Potemkin Superpower,2022-03-01,article,https://www.nytimes.com/2022/02/28/opinion/putin-military-sanctions-weakness.html,The Ukraine war has revealed the Putin regime’s true weakness.,"['Russian Invasion of Ukraine (2022)', 'Ruble (Currency)', 'Embargoes and Sanctions']"
What We’re Watching in Tuesday’s Texas Primary Election,2022-03-01,article,https://www.nytimes.com/2022/02/28/us/politics/texas-primary-candidates-midterms.html,The first election night of the 2022 midterms has some famous names and crowded primary races. Here’s a rundown.,"['United States Politics and Government', 'internal-sub-only-nl', 'Elections, Governors', 'Primaries and Caucuses', 'Midterm Elections (2022)']"
"In State of the Union, Biden Will Focus on Economy and Global Response to Russia",2022-03-01,article,https://www.nytimes.com/2022/02/28/us/politics/biden-state-of-the-union.html,The speech was originally going to center primarily on the president’s domestic agenda. But the war in Europe has forced the White House to change gears.,"['United States Economy', 'United States International Relations', 'United States Politics and Government', 'Coronavirus (2019-nCoV)', 'State of the Union Message (US)', 'Russian Invasion of Ukraine (2022)']"
G.O.P. Leaders Condemn Lawmakers’ Appearance at White Nationalist Conference,2022-03-01,article,https://www.nytimes.com/2022/02/28/us/politics/republicans-extremism-marjorie-taylor-greene.html,The participation of Representatives Marjorie Taylor Greene and Paul Gosar at a far-right event renewed calls for Republican leaders to root out extremism in their party.,"['United States Politics and Government', 'Anti-Semitism', 'Right-Wing Extremism and Alt-Right']"
"Richard Blum, Political Donor and Husband of Senator Feinstein, Dies at 86",2022-03-01,article,https://www.nytimes.com/2022/02/28/us/politics/richard-blum-dead.html,"As a financier, he amassed a fortune that he spent on Democrats, helping to propel his wife from San Francisco mayor to a long career in the Senate.","['United States Politics and Government', 'Deaths (Obituaries)', 'Philanthropy', 'Campaign Finance']"
A few members of the Russian Parliament speak out against the war.,2022-03-01,article,https://www.nytimes.com/2022/02/28/world/europe/russia-parliament-ukraine-invasion.html,"In a rare show of dissent, three deputies of the State Duma have expressed regret about the attack.",['Russian Invasion of Ukraine (2022)']
Republicans Block Abortion Rights Measure in Senate,2022-03-01,article,https://www.nytimes.com/2022/02/28/us/politics/abortion-rights-measure-senate.html,"With a Supreme Court ruling looming, both parties expect the issue to resonate in this year’s midterm elections.","['Law and Legislation', 'United States Politics and Government', 'Abortion', 'Roe v Wade (Supreme Court Decision)']"
"Bracing for Biden and Protests, Officials Fortify the Capitol",2022-03-01,article,https://www.nytimes.com/2022/02/28/us/politics/capitol-security-sotu-truck-convoy.html,"A security fence, National Guard troops and more police surround the Capitol in preparation for the State of the Union address and a possible truck convoy of protesters.","['Storming of the US Capitol (Jan, 2021)', 'Security and Warning Systems', 'United States Politics and Government', 'Capitol Building (Washington, DC)', 'State of the Union Message (US)', 'Demonstrations, Protests and Riots']"
The U.S. expels 12 Russian diplomats for spying as Ukraine dominates action at the U.N.,2022-03-01,article,https://www.nytimes.com/2022/02/28/world/europe/us-russian-diplomats-un.html,The move is part of a larger effort to isolate Russia diplomatically and economically since it invaded Ukraine last week.,['Russian Invasion of Ukraine (2022)']
Ukraine Gets $22 Million in Crypto Donations to Fight Invasion,2022-03-01,article,https://www.nytimes.com/2022/02/28/business/ukraine-crypto-donations.html,Cryptocurrency has provided a way for investors to quickly move funds to Ukrainian fighters.,"['Russian Invasion of Ukraine (2022)', 'Virtual Currency', 'War and Armed Conflicts', 'Defense and Military Forces', 'Politics and Government', 'Crowdfunding (Internet)', 'Computers and the Internet']"
Why Ukrainians Believe They Can Win,2022-03-01,article,https://www.nytimes.com/2022/02/28/opinion/ukraine-victory.html,Idealism has been a powerful weapon in the resistance against Russia.,"['Russian Invasion of Ukraine (2022)', 'Politics and Government', 'Democracy (Theory and Philosophy)', 'Defense and Military Forces']"
Chinese Company Removed as Operator of Cobalt Mine in Congo,2022-03-01,article,https://www.nytimes.com/2022/02/28/world/congo-cobalt-mining-china.html,A court has given the Congolese control of one of the world’s largest sources of cobalt while allegations against the mine’s Chinese owners are investigated.,"['Mines and Mining', 'Cobalt', 'Alternative and Renewable Energy', 'Appointments and Executive Changes', 'Politics and Government', 'International Trade and World Market']"
"As Tanks Rolled Into Ukraine, So Did Malware. Then Microsoft Entered the War.",2022-03-01,article,https://www.nytimes.com/2022/02/28/us/politics/ukraine-russia-microsoft.html,"After years of talks about the need for public-private partnerships to combat cyberattacks, the war in Ukraine is stress-testing the system.","['Russian Invasion of Ukraine (2022)', 'Cyberwarfare and Defense', 'United States International Relations', 'Computers and the Internet']"
They Want to Break T. Rex Into 3 Species. Other Paleontologists Aren’t Pleased.,2022-03-01,article,https://www.nytimes.com/2022/02/28/science/tyrannosaurus-rex-species.html,"The premise, put forth in a new paper, highlights an assortment of tensions in dinosaur paleontology, including how subjective the naming of species can be.","['Dinosaurs', 'Biodiversity', 'Paleontology', 'Fossils', 'Research', 'your-feed-science', 'your-feed-animals']"
Art Briles Resigns From Grambling State,2022-03-01,article,https://www.nytimes.com/2022/02/28/sports/football/art-briles-grambling-state.html,"Grambling had received backlash after Briles, Baylor’s coach when leaders mishandled sexual assault accusations against players, was hired last week.",['Football (College)']
Disney and Warner Bros. will pause theatrical movie releases in Russia.,2022-03-01,article,https://www.nytimes.com/2022/02/28/business/disney-warner-bros-russia.html,Affected films include “The Batman” from Warner and “Turning Red” from Disney-Pixar.,"['Movies', 'Russian Invasion of Ukraine (2022)', 'Box Office Sales']"
Viatris Agrees to Settle EpiPen Antitrust Litigation for $264 Million,2022-03-01,article,https://www.nytimes.com/2022/02/28/business/viatris-epipen-settlement.html,"The proposed settlement, which requires a judge’s approval, would resolve a legal battle that began after the company, in 2016, raised the price for two EpiPens to $608 from $100.","['Compensation for Damages (Law)', 'Epinephrine (Drug)', 'Suits and Litigation (Civil)', 'Medical Devices']"
A new poll finds Americans’ fears about the virus are waning.,2022-03-01,article,https://www.nytimes.com/2022/02/28/us/a-new-poll-finds-americans-fears-about-the-virus-are-waning.html,,[]
House Passes Bill to Make Lynching a Hate Crime,2022-03-01,article,https://www.nytimes.com/2022/02/28/us/politics/house-lynching-hate-crime.html,"Lawmakers in both parties hailed the action as historic, but a separate bill to outlaw discrimination based on a person’s natural hair failed amid Republican opposition.","['United States Politics and Government', 'Law and Legislation', 'Black People', 'Blacks', 'Discrimination', 'Race and Ethnicity', 'Lynching', 'Hate Crimes']"
Pop Culture Site,2022-03-01,article,https://www.nytimes.com/2022/02/28/crosswords/daily-puzzle-2022-03-01.html,Lisa Senzel and Jeff Chen let the good times roll.,['Crossword Puzzles']
Gunman Kills His 3 Children in a Sacramento County Church,2022-03-01,article,https://www.nytimes.com/2022/02/28/us/church-shooting-sacramento.html,"The man also fatally shot an adult before killing himself during what appeared to be a supervised visit, the authorities said.","['Murders, Attempted Murders and Homicides', 'Domestic Violence']"
"At the N.F.L. Combine, Players (and Agents) Question Its Relevance",2022-03-01,article,https://www.nytimes.com/2022/03/01/sports/football/nfl-combine.html,"The league’s annual talent evaluation has become prime time viewing, but disputes over protocols and the rise of other scouting forums have prompted some to call for an overhaul.","['Draft and Recruitment (Sports)', 'Football', 'Football (College)', 'Television']"
Cuomo’s New Approach to Restoring His Reputation: TV Ads,2022-03-01,article,https://www.nytimes.com/2022/03/01/nyregion/cuomos-tv-ads.html,The former governor’s commercials push a narrative that he was driven from office by “political attacks.”,"['Political Advertising', 'AMUSEMENT AND THEME PARKS', 'Sexual Harassment']"
Your Tuesday Briefing,2022-03-01,article,https://www.nytimes.com/2022/03/01/briefing/ukraine-russia-climate-change.html,A bloody attack on Ukraine’s second-largest city.,[]
"Satellite internet terminals, sent by Elon Musk, arrive in Ukraine.",2022-03-01,article,https://www.nytimes.com/2022/02/28/world/europe/elon-musk-satellite-internet-ukraine.html,"Responding to a plea by a Ukrainian official, Mr. Musk delivered an unknown number of his Starlink terminals, which offer online connection via orbiting satellites, bypassing conventional providers.","['Satellites', 'Russian Invasion of Ukraine (2022)', 'Computers and the Internet']"
‘My Fellow Americans’: Four Times Columnists Channel Joe Biden,2022-03-01,article,https://www.nytimes.com/2022/03/01/opinion/state-union-biden.html,We will start again — and we will start now.,"['State of the Union Message (US)', 'United States Politics and Government']"
"Quotation of the Day: As War Grinds Into 5th Day, Kremlin Starts Hitting Harder",2022-03-01,article,https://www.nytimes.com/2022/03/01/todayspaper/quotation-of-the-day-as-war-grinds-into-5th-day-kremlin-starts-hitting-harder.html,"Quotation of the Day for Tuesday, March 1, 2022.",[]
"Corrections: March 1, 2022",2022-03-01,article,https://www.nytimes.com/2022/03/01/pageoneplus/corrections-march-1-2022.html,"Corrections that appeared in print on Tuesday, March 1, 2022.",[]
Trevor Noah Reviews Putin’s Attempt at a Soviet Reunion,2022-03-01,article,https://www.nytimes.com/2022/03/01/arts/television/trevor-noah-putin-ukraine-war.html,"If bringing back the Soviet Union is Putin’s goal, the “Daily Show” host joked, long lines are a good start.",['Television']
Word of the Day: viscous,2022-03-01,article,https://www.nytimes.com/2022/03/01/learning/word-of-the-day-viscous.html,This word has appeared in 22 articles on NYTimes.com in the past year. Can you use it in a sentence?,[]
How hot is the surface of Venus?,2022-03-01,multimedia,https://www.nytimes.com/interactive/2022/03/01/science/science-quiz-hot-venus.html,Venus is often called Earth’s twin but it isn’t.,"['Planets', 'Space and Astronomy']"
Lit-Up Landmarks,2022-03-01,article,https://www.nytimes.com/2022/03/01/learning/lit-up-landmarks.html,"In recent days, landmarks around the world have been lit in blue and yellow. Why? And what do you think of these displays?",[]
Spelling Bee Forum,2022-03-01,article,https://www.nytimes.com/2022/03/01/crosswords/spelling-bee-forum.html,Feeling stuck on today’s puzzle? We can help.,[]
"Within Days, Russia’s War on Ukraine Squeezes the Global Economy",2022-03-01,article,https://www.nytimes.com/2022/03/01/business/economy/russia-ukraine-sanctions-economy.html,"The price of energy has already shot higher, and the conflict imperils supply chains, factors that could exacerbate inflation and suppress growth.","['Russian Invasion of Ukraine (2022)', 'International Trade and World Market', 'Economic Conditions and Trends', 'United States Economy', 'Embargoes and Sanctions', 'Inflation (Economics)', 'Prices (Fares, Fees and Rates)']"
Lesson of the Day: ‘How a High School Debate Team Shaped Ketanji Brown Jackson’,2022-03-01,article,https://www.nytimes.com/2022/03/01/learning/lesson-plans/lesson-of-the-day-how-a-high-school-debate-team-shaped-ketanji-brown-jackson.html,"In this lesson, students will learn about President Biden’s nominee for Supreme Court justice and about the outsize influence her high school experience had on her career path.",[]
Virgil Abloh’s Last Show,2022-03-01,article,https://www.nytimes.com/2022/03/01/style/virgil-abloh-off-white-paris-fashion-week.html,"At Off-White, paying homage to the late designer’s work and legacy.","['Fashion and Apparel', 'Paris Fashion Week', 'Design', 'Dresses', 'your-feed-fashion']"
"Valery Gergiev, a Putin Ally, Fired as Chief Conductor in Munich",2022-03-01,article,https://www.nytimes.com/2022/03/01/arts/music/valery-gergiev-fired-munich-ukraine.html,"The conductor was dismissed from the Munich Philharmonic after he refused to denounce Putin’s invasion of Ukraine. He and Anna Netrebko, the Russian diva, were also fired by the Bavarian State Opera.","['Russian Invasion of Ukraine (2022)', 'Classical Music', 'Opera', 'Appointments and Executive Changes']"
You Can’t Stop Spirit,2022-03-01,multimedia,https://www.nytimes.com/video/opinion/100000008129634/you-cant-stop-spirit.html,"For a community of Black women, dressing up as baby dolls is a Mardi Gras tradition and a celebration of freedom.","['Mardi Gras', 'Black People', 'Blacks', 'Women and Girls']"
"In a Novel of the ‘New India,’ Success Has a Steep Price",2022-03-01,article,https://www.nytimes.com/2022/03/01/books/review/pankaj-mishra-run-hide.html,"“Run and Hide,” by Pankaj Mishra, follows the conflicting paths of three university classmates who join India’s elite.",['Books and Literature']
What Does Alzheimer’s Disease Do to a Marriage?,2022-03-01,article,https://www.nytimes.com/2022/03/01/books/review/in-love-amy-bloom.html,"Amy Bloom’s midlife love story was interrupted by a dreaded diagnosis. In her memoir, “In Love,” she writes about what happened next.","['Books and Literature', ""Alzheimer's Disease"", 'Euthanasia and Assisted Suicide']"
When Relationship Problems Mirror the Struggles of a Nation,2022-03-01,article,https://www.nytimes.com/2022/03/01/books/review/groundskeeping-lee-cole.html,"In his debut novel, “Groundskeeping,” Lee Cole arranges an unlikely courtship on a college campus.",['Books and Literature']
2022 Midterm Primary Election Calendar,2022-03-01,multimedia,https://www.nytimes.com/interactive/2022/us/elections/midterm-elections-calendar.html,See the full schedule and a detailed state-by-state breakdown of the congressional midterm elections in the U.S.,"['Elections', 'Midterm Elections (2022)']"
How a Mystery Illness Cost One Writer a Decade of Health,2022-03-01,article,https://www.nytimes.com/2022/03/01/books/review/invisible-kingdom-chronic-illness-meghan-orourke.html,"In “The Invisible Kingdom,” Meghan O’Rourke exposes the ways our afflictions can undermine our very sense of self.","['Books and Literature', 'Content Type: Personal Profile', 'Autoimmune Diseases', 'Chronic Condition (Health)', 'Writing and Writers', 'Lyme Disease']"
When the Past Can’t Be Buried: Debut Novels Dredge Up Old Ties,2022-03-01,article,https://www.nytimes.com/2022/03/01/books/review/here-lies-olivia-clare-friedman-dont-say-we-didnt-warn-you-ariel-delgado-dixon-when-we-were-birds-ayanna-lloyd-banwo.html,"New fiction of familial roots and grief, spanning Louisiana, suburban New York and Trinidad.",['Books and Literature']
"When Nations Disappear, What Happens to Nationalities?",2022-03-01,article,https://www.nytimes.com/2022/03/01/books/review/yoko-tawada-scattered-all-over-the-earth.html,Yoko Tawada’s novel “Scattered All Over the Earth” imagines a future in which a climate crisis has eroded borders and cultural identities.,['Books and Literature']
Sabaa Tahir’s New Y.A. Novel Poignantly Explores the Meaning of Home,2022-03-01,article,https://www.nytimes.com/2022/03/01/books/review/sabaa-tahir-all-my-rage.html,"“All My Rage” is a love story, a tragedy and an infectious teenage fever dream about home when you feel you don’t fit in.","['Books and Literature', 'genre-books-young-adult']"
"How Sarah Polley, Child Star and ‘Canada’s Sweetheart,’ Grew Up Way Too Fast",2022-03-01,article,https://www.nytimes.com/2022/03/01/books/review/sarah-polley-run-towards-the-danger.html,"In her essay collection, “Run Towards the Danger,” Polley discusses her early fame, her largely unsupervised adolescence and her complicated relationships.","['Books and Literature', 'Content Type: Personal Profile', 'Actors and Actresses']"
A Tour of Writing’s History Bounces From Script to Script,2022-03-01,article,https://www.nytimes.com/2022/03/01/books/review/greatest-invention-nine-scripts-silvia-ferrera.html,"In “The Greatest Invention,” Silvia Ferrara offers a dizzying and entertaining tour of written language.","['Books and Literature', 'Language and Languages']"
"In a Debut Novel, Humans Are Scarce and Humanity Is Scarcer",2022-03-01,article,https://www.nytimes.com/2022/03/01/books/review/missouri-williams-doloriad.html,"“The Doloriad,” by Missouri Williams, imagines a large coterie of siblings dwelling in a bleak future.",['Books and Literature']
"An Old Tale of Sea Gods and Sacrifices Gets a Fresh, Feisty Spin",2022-03-01,article,https://www.nytimes.com/2022/03/01/books/the-girl-who-fell-beneath-the-sea-axie-oh.html,"Axie Oh’s latest novel, “The Girl Who Fell Beneath the Sea,” transforms a classic Korean folk tale into an empowering fantasy story about defining your own fate.","['Books and Literature', 'genre-books-young-adult']"
I Gave Up English for Lent,2022-03-01,article,https://www.nytimes.com/2022/03/01/opinion/lent-sacrifice-english.html,I wanted to give up a precious thing whose absence would make room for something revelatory.,"['Lent', 'Easter and Holy Week', 'English Language']"
May I Disinherit My Right-Wing Daughters?,2022-03-01,article,https://www.nytimes.com/2022/03/01/magazine/disinherit-right-wing-daughters-ethics.html,The magazine’s Ethicist columnist on when tribalism tears a family apart.,"['Politics and Government', 'United States Politics and Government', 'Ethics (Personal)', 'Vaccination and Immunization']"
I’m a Parent and a Statistician. There’s a Smarter Way to Think About the Under-5 Vaccine.,2022-03-01,article,https://www.nytimes.com/2022/03/01/opinion/under-5-vaccine.html,We need to embrace a Bayesian approach to the child vaccine data.,"['Statistics', 'Clinical Trials', 'Vaccination and Immunization', 'Coronavirus (2019-nCoV)']"
"What Is Your Obligation to a Difficult, Deceptive Parent?",2022-03-01,article,https://www.nytimes.com/2022/03/01/books/never-simple-liz-scheier-group-text.html,"In her memoir, “Never Simple,” Liz Scheier writes about life as the child of a master manipulator.","['Books and Literature', 'Content Type: Personal Profile']"
Do You Ever Ignore Text Messages?,2022-03-01,article,https://www.nytimes.com/2022/03/01/learning/do-you-ever-ignore-text-messages.html,"Is choosing not to respond to texts, emails and other digital messages rude? Or is it sometimes necessary?",['Text Messaging']
How to Buy a Masterpiece on a Budget,2022-03-01,article,https://www.nytimes.com/2022/03/01/magazine/online-auction-art.html,With online auctions there’s no accounting for taste — only paying a price for it.,"['Art', 'Auctions', 'E-Commerce', 'Computers and the Internet']"
How the State of the Union Became One of the Weirdest Nights in American Politics,2022-03-01,article,https://www.nytimes.com/2022/03/01/opinion/state-of-the-union.html,It has all the mystery and half the charm of a slapped-together awards show. ,"['United States Politics and Government', 'State of the Union Message (US)', 'Presidents and Presidency (US)', 'Social Media', 'Celebrities']"
"‘In Love,’ a Novelist’s Powerful Memoir About a Happy Marriage and an Assisted Suicide",2022-03-01,article,https://www.nytimes.com/2022/03/01/books/review-in-love-memoir-amy-bloom.html,"In her new book, Amy Bloom writes about loving her husband and helping him to end his life after a diagnosis of Alzheimer’s.","['Books and Literature', 'Euthanasia and Assisted Suicide', ""Alzheimer's Disease""]"
"‘Once I Step Out, I Am a Queen on Mardi Gras’",2022-03-01,article,https://www.nytimes.com/2022/03/01/opinion/you-cant-stop-spirit-mardi-gras.html,"For a community of Black women in New Orleans, dressing up as baby dolls is a tradition in which they’re encouraged to be free.","['Documentary Films and Programs', 'Mardi Gras', 'Black People', 'Blacks', 'Women and Girls', 'Parades']"
‘I Honestly Believe It’s a Game’: Why Carjacking Is on the Rise Among Teens,2022-03-01,article,https://www.nytimes.com/2022/03/01/us/car-theft-teens-pandemic.html,"The crime has made a resurgence across the country over the past two years, and many of those arrested are startlingly young.","['Carjacking', 'Teenagers and Adolescence', 'Education (K-12)', 'Quarantine (Life and Culture)', 'Coronavirus (2019-nCoV)']"
These Climate Scientists Are Fed Up and Ready to Go on Strike,2022-03-01,article,https://www.nytimes.com/2022/03/01/climate/ipcc-climate-scientists-strike.html,Evidence on global warming is piling up. Nations aren’t acting. Some researchers are asking what difference more reports will make.,"['Research', 'Science and Technology', 'Strikes', 'Global Warming', 'Greenhouse Gas Emissions', 'Grief (Emotion)']"
"Seeking Truth and Justice, Chinese See Themselves in a Chained Woman",2022-03-01,article,https://www.nytimes.com/2022/03/01/business/china-chained-woman-social-media.html,"The woman became a symbol of injustice and authorities’ incompetence in fighting human trafficking, posing a credibility challenge to an omnipotent government.","['Human Trafficking', 'Women and Girls', 'Social Media', 'Kidnapping and Hostages']"
How Do Election Results Work?,2022-03-01,article,https://www.nytimes.com/article/election-results-process-explained.html,The process behind calling elections: how The Times will report live election results during the 2022 primary season.,"['Midterm Elections (2022)', 'Primaries and Caucuses', 'Elections']"
What the War in Ukraine Means for the World’s Food Supply,2022-03-01,article,https://www.nytimes.com/2022/03/01/opinion/what-the-war-in-ukraine-means-for-the-worlds-food-supply.html,Nations are not secure unless their food supplies are. ,"['Russian Invasion of Ukraine (2022)', 'Food', 'Shortages', 'Wheat', 'Grain', 'Commodities', 'Supply Chain', 'International Trade and World Market', 'Corn', 'International Relations', 'Fertilizer', 'Food Insecurity', 'Agriculture and Farming', 'Famine']"
Can the West Stop Russia by Strangling Its Economy?,2022-03-01,article,https://www.nytimes.com/2022/03/01/opinion/ezra-klein-podcast-adam-tooze.html,The economic historian Adam Tooze explains how the invasion of Ukraine is inciting war in the financial markets.,"['Russian Invasion of Ukraine (2022)', 'United States International Relations', 'United States Economy', 'Economic Conditions and Trends', 'International Trade and World Market', 'Embargoes and Sanctions']"
How to Create a Home Bar That Will Dazzle Your Guests,2022-03-01,article,https://www.nytimes.com/2022/03/01/realestate/how-to-create-a-home-bar-that-will-dazzle-your-guests.html,"All it takes is a tiny space — a niche, a shallow closet or even a cabinet — to make a cocktail bar that’s a thing of beauty. Here’s how.","['Real Estate and Housing (Residential)', 'Interior Design and Furnishings', 'Restoration and Renovation', 'Home Repairs and Improvements', 'Cocktails and Mixed Drinks', 'Lighting', 'Design']"
The Hidden Epidemic of Brain Injuries From Domestic Violence,2022-03-01,article,https://www.nytimes.com/2022/03/01/magazine/brain-trauma-domestic-violence.html,Research shows that survivors of abuse can sustain head trauma more often than football players. But they are almost never diagnosed.,"['Domestic Violence', 'Concussions', 'Traumatic Brain Injury', 'Chronic Traumatic Encephalopathy', 'Brain', 'Post-Traumatic Stress Disorder', 'Psychology and Psychologists', 'Sports Injuries']"
"As Infrastructure Money Flows, Mitch Landrieu Must Straddle Partisan Divide",2022-03-01,article,https://www.nytimes.com/2022/03/01/us/politics/mitch-landrieu-infrastructure-biden.html,"Much of the funding is left up to state leaders, some of whom have already pushed back on the federal government’s goals. Mr. Landrieu will be key to resolving those differences.","['Infrastructure Investment and Jobs Act (2021)', 'Infrastructure (Public Works)', 'United States Politics and Government']"
Abbott and O’Rourke win their Texas primaries.,2022-03-01,article,https://www.nytimes.com/2022/03/01/us/politics/texas-primary-midterms-democrats-gop.html,"In the Texas race for governor, Gov. Greg Abbott overcame several opponents on his right, and Beto O’Rourke sailed to the Democratic nomination.",['Midterm Elections (2022)']
"Recreating a Family’s Lost Holocaust History, Step by Step",2022-03-01,article,https://www.nytimes.com/2022/03/01/travel/holocaust-pyrenees-jewish-refugees.html,"During the pandemic lockdown, when solitude dredged up the regret of missed opportunities, one writer hiked over the Pyrenees Mountains to better understand her father.","['Holocaust and the Nazi Era', 'Jews and Judaism', 'World War II (1939-45)', 'Letters', 'Hikes and Hiking', 'Refugees and Displaced Persons']"
"N.Y. Republicans Back Rep. Lee Zeldin, a Trump Ally, for Governor",2022-03-01,article,https://www.nytimes.com/2022/03/01/nyregion/republicans-midterm-election-ny.html,"The Republican State Convention is giving party leaders a chance to test messages about crime, inflation and Democratic leadership.","['Midterm Elections (2022)', 'Politics and Government', 'Elections, Governors', 'Elections, State Legislature']"
"In a New Memoir, Harvey Fierstein Shares Gossip and Regrets",2022-03-01,article,https://www.nytimes.com/2022/03/01/theater/harvey-fierstein-memoir.html,"“As much as it hurts, tell the truth,” says the Tony-winning performer and playwright, tracing his path from Brooklyn to Broadway.","['Content Type: Personal Profile', 'Theater', 'Books and Literature']"
"In Detroit, a Bet That Healthy Restaurants Can Help the City",2022-03-01,article,https://www.nytimes.com/2022/03/01/dining/detroit-restaurants.html,"For years, a coalition of groups has supported food businesses, seeing them as critical to the city’s continuing recovery. The pandemic has put its accomplishments to the test.","['Restaurants', 'Black People', 'Blacks', 'Minorities', 'Area Planning and Renewal', 'Discrimination', 'Entrepreneurship', 'Immigration and Emigration', 'Philanthropy', 'Nonprofit Organizations']"
