headline,date,doc_type,material_type,snippet,keywords
Two Arrested in Killings of Transgender Women in Puerto Rico,2020-05-01,article,https://www.nytimes.com/2020/04/30/us/puerto-rico-transgender-murder-arrests.html,The police said they had classified the deaths as a hate crime after the remains of two women were found in a badly burned car last week.,"['Murders, Attempted Murders and Homicides', 'Hate Crimes']"
Fiona Ex Machina,2020-05-01,article,https://www.nytimes.com/2020/04/30/podcasts/still-processing-fiona-apple-fetch-bolt-cutters.html,"Fiona Apple blows our minds, again.",[]
No Graduation Ceremony? You Get Oprah!,2020-05-01,article,https://www.nytimes.com/2020/04/30/us/oprah-winfrey-graduation-commencement-speeches-virus.html,Oprah Winfrey will give a virtual commencement address on Facebook for college and high school seniors across the United States.,"['Commencement Speeches', 'Colleges and Universities', 'Computers and the Internet', 'Coronavirus (2019-nCoV)']"
Coronavirus Briefing: What Happened Today,2020-05-01,article,https://www.nytimes.com/2020/04/30/us/coronavirus-today.html,Public beaches have become a flashpoint as the U.S. begins to emerge from stay-at-home restrictions.,['Coronavirus (2019-nCoV)']
Closing Number of a Musical,2020-05-01,article,https://www.nytimes.com/2020/04/30/crosswords/daily-puzzle-2020-05-01.html,Trenton Charlson raises the curtain on our solving weekend.,['Crossword Puzzles']
Labs Across U.S. Join Federal Initiative to Study Coronavirus Genome,2020-05-01,article,https://www.nytimes.com/2020/04/30/science/coronavirus-genetic-sequencing.html,"The project, announced by the C.D.C., will help trace patterns of transmission, investigate outbreaks and map how the virus is evolving, which can affect a cure.","['Genetics and Heredity', 'Coronavirus (2019-nCoV)', 'Medicine and Health', 'Research', 'Epidemics', 'Vaccination and Immunization', 'Laboratories and Scientific Equipment']"
"Corrections: May 1, 2020",2020-05-01,article,https://www.nytimes.com/2020/04/30/pageoneplus/corrections-may-1-2020.html,"Corrections that appeared in print on Friday, May 1, 2020.",[]
Quotation of the Day: Billions Slide Down Ladder That Took Decades to Climb,2020-05-01,article,https://www.nytimes.com/2020/04/30/todayspaper/quotation-of-the-day-billions-slide-down-ladder-that-took-decades-to-climb.html,"Quotation of the Day for Friday, May 1, 2020.",[]
"Making Space in Marriage, Even as the Walls Close In",2020-05-01,article,https://www.nytimes.com/2020/05/01/style/modern-love-coronavirus-burning-man-making-space-in-marriage.html,"She didn’t want to go to Burning Man (for all the reasons people don’t), but then there she was, dancing naked in the desert, and it was good.","['Love (Emotion)', 'Marriages', 'Burning Man Festival']"
U.S. Stocks End the Week Lower After Tech Earnings,2020-05-01,article,https://www.nytimes.com/2020/05/01/business/stock-market-today-coronavirus.html,The latest on stock market and business news during the coronavirus outbreak.,"['United States Economy', 'Coronavirus (2019-nCoV)', 'Stocks and Bonds', ""Standard & Poor's 500-Stock Index""]"
