headline,date,doc_type,material_type,snippet,keywords
Why a Pilot Is Under Investigation for Saying ‘Let’s Go Brandon’,2021-11-01,article,https://www.nytimes.com/2021/10/31/us/lets-go-brandon-southwest-airlines.html,"His remarks went viral after he repeated the chant, which is understood to be code for swearing at President Biden, during a Southwest Airlines flight.","['AIRLINES AND AIRPLANES', 'Pilots', 'United States Politics and Government', 'Social Media']"
"‘Succession’ Season 3, Episode 3: Head Spaces and Hullabaloo",2021-11-01,article,https://www.nytimes.com/2021/10/31/arts/television/succession-season-3-episode-3-head-spaces-and-hullabaloo.html,There was plenty of petty Roy cruelty to go around in this week’s brutal episode.,['Television']
Your Monday Briefing,2021-11-01,article,https://www.nytimes.com/2021/10/31/briefing/climate-g20-britain-coronavirus.html,Deciding the future of the climate.,[]
What Is a ‘Carbon Footprint’? And 12 Other Climate Buzzwords,2021-11-01,multimedia,https://www.nytimes.com/interactive/2021/10/31/climate/climate-change-sustainability-definition.html,"As climate change discussions take center stage in Glasgow, here’s a primer on some of the jargon you’re likely to hear a lot.","['Global Warming', 'Environment', 'Sustainable Living']"
"‘Insecure’ Recap, Season 5, Episode 2: Pick Up Your Feelings",2021-11-01,article,https://www.nytimes.com/2021/10/31/arts/television/insecure-recap-season-5-episode-2.html,"Busy with their careers and friendship, Issa and Molly forget to turn back to themselves.",['Television']
Word of the Day: conflagration,2021-11-01,article,https://www.nytimes.com/2021/10/31/learning/word-of-the-day-conflagration.html,This word has appeared in 70 articles on NYTimes.com in the past year. Can you use it in a sentence?,[]
New Black N.B.A. Coaches Wonder Why It Took So Long to Get a Shot,2021-11-01,article,https://www.nytimes.com/2021/11/01/sports/basketball/nba-black-coaches-diversity.html,"The N.B.A.’s coaching ranks have long been dominated by white men, but a demand from Black players for more diversity may be changing things.","['Coaches and Managers', 'Basketball', 'Black People', 'Blacks', 'Hiring and Promotion', 'Discrimination']"
"Once a Leading Polluter, the U.K. Is Now Trying to Lead on Climate Change",2021-11-01,article,https://www.nytimes.com/2021/11/01/world/europe/britain-climate-change.html,"On the eve of a global climate summit, Britain’s evolution from fossil fuels to clean energy is on display. But experts question whether its commitment is sufficient, and whether it can persuade other nations to meet meaningful goals.","['Politics and Government', 'United Nations Framework Convention on Climate Change', 'Greenhouse Gas Emissions', 'Global Warming', 'Coal', 'Wind Power', 'Alternative and Renewable Energy']"
How Much Are Countries Pledging to Reduce Emissions?,2021-11-01,multimedia,https://www.nytimes.com/interactive/2021/11/01/climate/paris-pledges-tracker-cop-26.html,The newest plans by countries to fight climate change still fall short of what scientists say is necessary. Here’s what the 10 biggest emitters have promised.,"['United Nations Framework Convention on Climate Change', 'Greenhouse Gas Emissions', 'Global Warming']"
"Facing Elimination, the Houston Astros Find Their Bats",2021-11-01,article,https://www.nytimes.com/2021/11/01/sports/baseball/astros-braves-world-series-game-5.html,"A first-inning grand slam had Atlanta thinking championship, but the Astros kept fighting and sent the Series back to Houston for Game 6.","['Baseball', 'World Series']"
