headline,date,doc_type,material_type,snippet,keywords
"From Google, on Its Advertising Tech Business",2021-07-01,article,https://www.nytimes.com/2021/06/30/opinion/letters/google-advertising-technology-business.html,“Our research shows that publishers’ revenue increases when they use our tools — that’s why they choose to use them!” a Google official writes.,"['Online Advertising', 'Advertising and Marketing']"
The N.B.A. Champion May Be the Last Team Standing,2021-07-01,article,https://www.nytimes.com/2021/06/30/sports/basketball/nba-injuries-giannis-antetokounmpo.html,"Injuries to stars have dominated and reshaped the playoffs, raising questions about the legacy of the team that wins it all.","['Sports Injuries', 'Basketball', 'Playoff Games', 'NBA Championship']"
"A poll reveals another U.S. vaccine divide, this one by household.",2021-07-01,article,https://www.nytimes.com/2021/06/30/us/vaccinated-households-poll-results.html,Workers were more likely to get a shot when their employers encouraged them and provided paid time off.,"['Vaccination and Immunization', 'Paid Time Off', 'Polls and Public Opinion']"
Judge Blocks Florida Law Regulating Social Media Companies,2021-07-01,article,https://www.nytimes.com/2021/06/30/technology/florida-law-social-media-desantis.html,"It would fine companies like Facebook, YouTube and Twitter if they permanently bar candidates for office in the state.","['Social Media', 'Censorship', 'Computers and the Internet', 'Decisions and Verdicts', 'Law and Legislation']"
James Franco Agrees to Pay $2.2 Million to Settle Sexual Misconduct and Fraud Lawsuits,2021-07-01,article,https://www.nytimes.com/2021/06/30/us/james-franco-sexual-misconduct-settlement.html,"Two former students of Mr. Franco’s acting school had accused him of subjecting them to sexually exploitative auditions and film shoots. In the proposed settlement, he did not admit wrongdoing.","['Suits and Litigation (Civil)', 'Compensation for Damages (Law)', 'Women and Girls', 'Sex Crimes', 'Frauds and Swindling', 'Actors and Actresses']"
Curling Locales,2021-07-01,article,https://www.nytimes.com/2021/06/30/crosswords/daily-puzzle-2021-07-01.html,Joe Deeney makes a deal out of things.,['Crossword Puzzles']
"Greg Noll, Surfing Superstar Who Tackled the Big Waves, Dies at 84",2021-07-01,article,https://www.nytimes.com/2021/06/30/sports/greg-noll-dead.html,"Known as ‘Da Bull,’ he caught waves in Hawaii, California, Australia and Mexico. One expert said he “could be the Babe Ruth of surfing.”","['Deaths (Obituaries)', 'Surfing']"
Pictures From a Revolution: China’s Communists Mark a Centennial,2021-07-01,article,https://www.nytimes.com/2021/06/30/world/asia/china-communists-100th-anniversary.html,The improbable rise of a superpower that was born in the rubble of dynasty and fears it may yet meet the same fate.,"['Politics and Government', 'Hong Kong Protests (2019)']"
"Corrections: July 1, 2021",2021-07-01,article,https://www.nytimes.com/2021/06/30/pageoneplus/corrections-july-1-2021.html,"Corrections that appeared in print on Thursday, July 1, 2021.",[]
Your Thursday Briefing,2021-07-01,article,https://www.nytimes.com/2021/06/30/briefing/coronavirus-bill-cosby-heat-wave.html,A global virus surge.,[]
Phoenix Suns Headed to First N.B.A. Finals in Almost 30 Years,2021-07-01,article,https://www.nytimes.com/2021/06/30/sports/basketball/nba-phoenix-suns-finals.html,"This will be the first trip to the finals for the Suns’ veteran leader, Chris Paul, who scored 41 points in the series-clinching Game 6 victory over the Los Angeles Clippers.","['Sports Injuries', 'Playoff Games', 'NBA Championship']"
"Every Shot, and Second, Counts for Tampa Bay",2021-07-01,article,https://www.nytimes.com/2021/06/30/sports/hockey/nhl-montreal-canadiens-tampa-lightning.html,The Lightning’s Blake Coleman dived to tip in the winning goal in the final moments of the second period to help Tampa Bay triumph despite being heavily outshot. His move looked awfully familiar.,"['Stanley Cup', 'Hockey, Ice']"
College Athletes Cash In as Generations of Rules Fade Under Pressure,2021-07-01,article,https://www.nytimes.com/2021/07/01/sports/ncaafootball/ncaa-college-athletes-endorsements.html,Thursday brings a seismic shift for college sports: eased N.C.A.A. policies and new laws to let players make money off their fame.,"['Student Athlete Compensation', 'College Athletics', 'Colleges and Universities']"
Infighting and Poor Planning Leave Condo Sites in Disrepair,2021-07-01,article,https://www.nytimes.com/2021/07/01/us/condo-associations-surfside-collapse.html,"Under pressure to keep costs down, many condo boards around the country have little money set aside for big repairs like the ones needed in Surfside, Fla. Some are looking to force a change.","['Surfside, Fla, Building Collapse (2021)', 'Condominiums', 'Home Repairs and Improvements']"
The Imperial Editor Goes the Way of the Dodo,2021-07-01,article,https://www.nytimes.com/2021/07/01/fashion/magazine-changes-conde-nast-anna-wintour.html,Business and culture have conspired to kill off a passé persona.,"['Fashion and Apparel', 'Magazines', 'Appointments and Executive Changes', 'your-feed-fashion']"
Who Is rg_bunny1: An Instagram Whodunit,2021-07-01,article,https://www.nytimes.com/2021/07/01/style/social-media-instagram-who-is-rgbunny1-everyone-speculates-nobody-knows.html,"Doping out the identity of an obsessive, enigmatic Instagram poster has become a favored pastime of the scrolling classes.","['Art', 'Photography', 'Social Media']"
"Quotation of the Day: As Condo Boards Squabble, Disaster May Loom",2021-07-01,article,https://www.nytimes.com/2021/07/01/todayspaper/quotation-of-the-day-as-condo-boards-squabble-disaster-may-loom.html,"Quotation of the Day for Thursday, July 1, 2021.",[]
"Israel’s New Leaders Tilt Right With Settler Deal, Hinting at Approach",2021-07-01,article,https://www.nytimes.com/2021/07/01/world/middleeast/israel-settler-deal-bennett.html,Prime Minister Naftali Bennett’s decision about an unauthorized settlement has provided an early idea of how he hopes to manage his unlikely coalition.,"['Israeli Settlements', 'Palestinians', 'Politics and Government']"
Generational Divides Emerge Onstage in Germany,2021-07-01,article,https://www.nytimes.com/2021/07/01/theater/castorf-montag-berlin.html,"At newly reopened playhouses, once-legendary and younger directors take very different approaches to their mammoth productions.","['Theater', 'Actors and Actresses']"
President Biden meets with rescue workers during his visit to Florida.,2021-07-01,article,https://www.nytimes.com/2021/07/01/us/president-biden-florida.html,"Mr. Biden and his wife, Jill Biden, are scheduled to meet with families of the victims of the condo collapse in Surfside, Fla.","['Surfside, Fla, Building Collapse (2021)']"
"Weekly Health Quiz: Washing Fruit, a New Cancer Treatment and the Delta Variant",2021-07-01,multimedia,https://www.nytimes.com/interactive/2021/07/01/well/live/01healthquiz-07012021.html,Test your knowledge of this week’s health news.,"['Coronavirus (2019-nCoV)', 'Prostate Gland', 'Fruit', 'Vaccination and Immunization', 'Medicine and Health']"
Dana Spiotta Loves Coming Across Jokes in Really Old Books,2021-07-01,article,https://www.nytimes.com/2021/07/01/books/review/dana-spiotta-by-the-book-interview.html,"“I feel such connection to the human who made it, which delights and moves me. If you can write a joke that is still funny in 100 years, you are great.”","['Books and Literature', 'Writing and Writers', 'Content Type: Personal Profile']"
"Rents Were Down, but Could They Afford the West Village? These Were Their Options.",2021-07-01,multimedia,https://www.nytimes.com/interactive/2021/07/01/realestate/01hunt-urizar.html,"Stuck in a studio during the pandemic, a couple tested the soft Manhattan rental market, in search of more space and a few conveniences. Which place would you choose?","['Real Estate and Housing (Residential)', 'Renting and Leasing (Real Estate)', 'Quarantine (Life and Culture)', 'Content Type: Personal Profile']"
Books Are Forever. Best Sellers Are Fleeting.,2021-07-01,article,https://www.nytimes.com/2021/07/01/books/review/cane-river-lalita-tademy.html,"Here’s a look at novels selling like gangbusters in the second week of July, all the way back to 1971.",['Books and Literature']
Poem: Tonight,2021-07-01,article,https://www.nytimes.com/2021/07/01/magazine/poem-tonight.html,"The ghazal is an M.C.’s form: repeating words, a rhyme scheme and self-referential. The good ones become like a prayer.","['Poetry and Poets', 'Prisons and Prisoners', 'Prayers and Prayer Books']"
Why ‘Amtrak Joe’ Should Pull Back on Train Funding,2021-07-01,article,https://www.nytimes.com/2021/07/01/opinion/biden-amtrak-infrastructure.html,The president wants to pour billions more into a service that makes sense only in a few areas.,"['American Jobs Plan (2021)', 'Railroads', 'Infrastructure (Public Works)']"
Judge John Hodgman on the Gendering of Sipping Straws,2021-07-01,article,https://www.nytimes.com/2021/07/01/magazine/masculinity-straws.html,A mother-in-law takes a jab at her son-in-law’s drinking preferences.,"['Comedy and Humor', 'Alcoholic Beverages']"
The Chinese Communist Party Is 100. It’s Not Going Anywhere.,2021-07-01,article,https://www.nytimes.com/2021/07/01/opinion/china-communist-party-100-years-anniversary.html,The country’s Communist Party rule is stronger than ever.,[]
Biden’s Chief of Staff Is Worried About ‘Everything.’ Except the Midterms.,2021-07-01,article,https://www.nytimes.com/2021/07/01/opinion/sway-kara-swisher-ron-klain.html,"Ron Klain discusses the infrastructure bill, the White House pandemic response and why he’ll “let Republicans deal with Donald Trump.”","['audio-neutral-informative', 'United States Politics and Government', 'Law and Legislation', 'Coronavirus (2019-nCoV)']"
Showing Migrants Through a New Lens: Their Own,2021-07-01,article,https://www.nytimes.com/2021/07/01/insider/migrants-self-portraits.html,"As many waited on the U.S.-Mexican border, hoping to enter the United States despite the government’s message to stay away, a photographer let them be seen on their own terms.","['Photography', 'Immigration and Emigration', 'Cameras']"
Maybe Trump Wasn’t the Worst President Ever?,2021-07-01,article,https://www.nytimes.com/2021/07/01/opinion/trump-worst-presidents.html,"He hasn’t dislodged James Buchanan from the bottom ranking, but history is unlikely to be kind to him.","['Presidents and Presidency (US)', 'United States Politics and Government', 'Storming of the US Capitol (Jan, 2021)']"
What the Supreme Court Did for Religion,2021-07-01,article,https://www.nytimes.com/2021/07/01/opinion/supreme-court-religion.html,The court has become more open to claims of government regulations impeding religion. ,"['Religion-State Relations', 'Decisions and Verdicts', 'Santeria Faith', 'Suits and Litigation (Civil)', 'Freedom of Religion']"
"Digital vaccination cards go into effect in Europe, with some turbulence.",2021-07-01,article,https://www.nytimes.com/2021/07/01/world/europe/eu-digital-covid-certificates.html,"“This can only work for travelers if member states implement it in a harmonized way,” said an official representing Europe’s largest air carriers.","['Coronavirus (2019-nCoV)', 'Vaccination and Immunization', 'Travel and Vacations']"
Is There a Right Way to Act Blind?,2021-07-01,article,https://www.nytimes.com/2021/07/01/magazine/in-the-dark-blindness.html,Activists slammed the TV show “In the Dark” for casting a sighted actress in a blind lead role. But what if blindness is a performance of its own?,"['Blindness', 'Actors and Actresses', 'Television', 'Disabilities']"
Knowing What Your Co-Worker Makes Doesn’t Close the Pay Gap,2021-07-01,article,https://www.nytimes.com/2021/07/01/business/salary-transparency-pay-gap.html,Salary transparency is intended to help address inequities. But making the number public doesn’t seem to move the needle.,"['Wages and Salaries', 'Income Inequality', 'Discrimination', 'Women and Girls', 'Men and Boys', 'Labor and Jobs']"
