headline,date,doc_type,material_type,snippet,keywords
How to watch the Golden Globes on TV and Online.,2021-03-01,article,https://www.nytimes.com/2021/02/28/movies/how-to-watch-the-golden-globes-on-tv-and-online.html,A quick guide to watching the ceremony.,[]
What will win tonight? Here are our predictions.,2021-03-01,article,https://www.nytimes.com/2021/02/28/movies/what-will-win-tonight-here-are-our-predictions.html,,[]
Daniel Kaluuya and Chadwick Boseman are both recognized for film roles.,2021-03-01,article,https://www.nytimes.com/2021/02/28/movies/daniel-kaluuya-john-boyega.html,"Daniel Kaluuya won for his performance as the Black Panther leader Fred Hampton in “Judas and the Black Messiah,” while Chadwick Boseman was awarded a posthumous Globe for his role in “Ma Rainey’s Black Bottom.”","['Black People', 'Blacks', 'Actors and Actresses', 'Golden Globes (Awards)']"
Full Text of Cuomo’s Statement in Response to Harassment Accusations,2021-03-01,article,https://www.nytimes.com/2021/02/28/nyregion/full-text-cuomos-statement-harassment-accusations.html,Gov. Andrew Cuomo issued a statement on Sunday in response to accusations of sexual harassment.,"['Sexual Harassment', 'Speeches and Statements']"
Forget ‘Succession.’ You Can Watch ‘90 Day Fiancé’ for 100 Hours Straight.,2021-03-01,article,https://www.nytimes.com/2021/02/28/business/media/cable-tv-streaming-discovery.html,"Discovery’s new app has taken off largely because viewers love watching people fix houses, tour diners and bicker about their relationships.","['Mobile Applications', 'Video Recordings, Downloads and Streaming', 'Reality Television', 'Television']"
Voter Suppression Is Grand Larceny,2021-03-01,article,https://www.nytimes.com/2021/02/28/opinion/voter-suppression-us.html,We are watching another theft of power.,"['Black People', 'Blacks', 'Voter Registration and Requirements', 'United States Politics and Government', 'Race and Ethnicity', 'Law and Legislation', 'Elections']"
"CPAC Takeaways: Trump Dominates, and DeSantis and Noem Stand Out",2021-03-01,article,https://www.nytimes.com/2021/02/28/us/politics/cpac-trump-kristi-noem.html,"At their three-day gathering, pro-Trump conservatives tried to turn “cancel culture” into their new “fake news” and spent little time on policy (either their own or President Biden’s).","['Presidential Election of 2020', 'Voter Fraud (Election Fraud)']"
Golden Globes Winners 2021: The Complete List,2021-03-01,article,https://www.nytimes.com/2021/02/28/movies/golden-globes-winners-list.html,"Here are the winning films, TV shows, actors and production teams at the 2021 Golden Globe Awards.","['Movies', 'Actors and Actresses', 'Television', 'Golden Globes (Awards)']"
Daniel Kaluuya overcomes the first hiccup of the night.,2021-03-01,article,https://www.nytimes.com/2021/02/28/movies/daniel-kaluuya-best-supporting-actor.html,"Accepting the award for best supporting actor in a film for his role in “Judas and the Black Messiah,” his remote speech was initially muted.","['Black People', 'Blacks', 'Movies', 'Golden Globes (Awards)']"
Transcript: Amy Poehler and Tina Fey skewer the H.F.P.A.’s lack of diversity.,2021-03-01,article,https://www.nytimes.com/2021/02/28/movies/tina-fey-amy-poehler-golden-globes.html,"From opposite coasts, their split-screen opening of the Golden Globes took on the turn to streaming in the pandemic.","['Golden Globes (Awards)', 'Movies']"
"Corrections: March 1, 2021",2021-03-01,article,https://www.nytimes.com/2021/02/28/pageoneplus/corrections-march-1-2021.html,"Corrections that appeared in print on Monday, March 1, 2021.",[]
Quotation of the Day: Salvador’s Combative Boss May Tighten Grip in Vote,2021-03-01,article,https://www.nytimes.com/2021/02/28/todayspaper/quotation-of-the-day-salvadors-combative-boss-may-tighten-grip-in-vote.html,"Quotation of the Day for Monday, March 1, 2021.",[]
Collin Morikawa Wins Workday Title on a Day of Tributes to Woods,2021-03-01,article,https://www.nytimes.com/2021/02/28/sports/golf/pga-workday-final-round.html,"Morikawa, 24, who won the 2020 P.G.A. Championship in August, is doing things only Tiger Woods had done before turning 25.",['Golf']
"Emma Corrin, as Princess Diana, wins her first Golden Globe for ‘The Crown.’",2021-03-01,article,https://www.nytimes.com/2021/02/28/movies/emma-corrin-princess-diana.html,"The 25-year-old actress, a relative unknown, created a sympathetic portrayal of the princess in the early years of her marriage.","['Television', 'Golden Globes (Awards)']"
Your Monday Briefing,2021-03-01,article,https://www.nytimes.com/2021/02/28/briefing/spain-protests-coronavirus-hong-kong.html,Protests against Spain’s biting economic crisis.,"['Defense and Military Forces', 'Politics and Government', 'Quarantine (Life and Culture)', 'Coronavirus (2019-nCoV)', 'United States International Relations', 'Hong Kong Protests (2019)', 'Deaths (Fatalities)', 'Great Britain Withdrawal from EU (Brexit)', 'Demonstrations, Protests and Riots']"
"‘Minari’ wins best foreign-language film, but not without controversy.",2021-03-01,article,https://www.nytimes.com/2021/02/28/movies/minari-foreign-language-film.html,"The movie competed in the category even though it was filmed in the United States and its director, Lee Isaac Chung, is American.","['Golden Globes (Awards)', 'Movies']"
